R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0012
y-axis screen name: cdc2-2
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/06/24
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YKL081W	TEF4	0.0163994	0.763447	-22.5159	8.00734	50.4773	4.82315	10.8834	8	8	t-test	E
YMR179W	SPT21	0.00234631	0.184436	-22.2475	16.4495	63.9945	4.04121	7.31568	8	8	t-test	E
YDR302W	GPI11	0.00850482	0.485484	-22.1146	23.9816	76.2308	2.8406	10.1331	8	8	t-test	E
YGR073C	YGR073C	0.0722502	0.999261	-22.0433	44.5261	110.088	5.14922	16.1575	8	8	t-test	E
YDR532C	YDR532C	0.000587758	0.0587146	-22.0345	5.45839	45.4658	2.85477	6.50656	8	8	t-test	E
YBL092W	RPL32	0.00444777	0.304672	-21.9442	18.421	66.7533	3.55267	8.64656	8	8	t-test	E
YPR135W	CTF4	0.0293515	0.999261	-21.8414	19.6478	68.6119	7.19011	8.69984	8	8	t-test	E
YKL088W	CAB3	0.0534854	0.999261	-21.7602	35.7511	95.1084	1.8473	15.442	8	8	t-test	E
YMR270C	RRN9	0.0471021	0.999261	-21.6857	33.6586	91.5246	2.48532	14.7631	8	8	t-test	E
YER025W	GCD11	0.0167172	0.770761	-21.6616	31.1398	87.3193	1.11422	11.4805	8	8	t-test	E
YBR189W	RPS9B	0.00161326	0.135712	-21.5832	2.5434	39.8989	0.296695	7.19469	8	8	t-test	E
YOR027W	STI1	0.0169304	0.773156	-21.5817	21.5443	71.3189	5.63268	9.31183	8	8	t-test	E
YDR454C	GUK1	0.00343619	0.249645	-21.4876	15.081	60.4748	4.50501	6.81325	8	8	t-test	E
YBR160W	CDC28	0.0459354	0.999261	-21.4475	36.0732	95.1239	3.56329	14.2419	8	8	t-test	E
YPL043W	NOP4	0.055053	0.999261	-21.4355	28.2867	82.2272	6.24962	13.3007	8	8	t-test	E
YDR440W	DOT1	0.008362	0.483082	-21.4243	15.7178	61.4231	4.96383	8.12743	8	8	t-test	E
YLR235C	YLR235C	0.0125865	0.635288	-21.0676	18.372	65.2226	5.65749	7.6958	8	8	t-test	E
YGR157W	CHO2	0.024828	0.983887	-20.9904	5.99358	44.6243	3.60322	11.8178	8	8	t-test	E
YHR197W	RIX1	0.0500967	0.999261	-20.9458	36.8423	95.5659	2.913	14.4123	8	8	t-test	E
YDR201W	SPC19	0.0582217	0.999261	-20.8226	38.6565	98.3625	3.96125	14.642	8	8	t-test	E
YLR237W	THI7	0.12615	0.999261	-20.674	39.2913	99.1665	9.7049	13.5163	8	8	t-test	E
YLR234W	TOP3	0.114899	0.999261	-20.6477	39.2021	98.9755	9.7063	12.2959	8	8	t-test	E
YLL002W	RTT109	0.00377262	0.266025	-20.6176	5.7327	43.5763	3.51852	7.74523	8	8	t-test	E
YDL060W	TSR1	0.028976	0.999261	-20.5831	30.5817	84.6129	2.18693	12.3596	8	8	t-test	E
YPR164W	MMS1	0.00499927	0.31962	-20.563	19.5226	66.291	3.49169	8.18598	8	8	t-test	E
YBR084C-A	RPL19A	0.168951	0.999261	-20.542	27.7659	79.8882	10.3258	16.0206	8	8	t-test	E
YGR175C	ERG1	0.0417136	0.999261	-20.5411	32.3678	87.4971	2.05903	13.5638	8	8	t-test	E
YJR046W	TAH11	0.0311189	0.999261	-20.3666	24.8137	74.7161	5.43626	10.7451	8	8	t-test	E
YAL033W	POP5	0.0634097	0.999261	-20.2568	39.1562	98.2531	5.04635	13.9962	8	8	t-test	E
YML102C-A	YML102C-A	0.0218647	0.891299	-20.1466	27.154	78.2226	4.48196	10.3774	8	8	t-test	E
YMR039C	SUB1	0.0395618	0.999261	-20.1337	28.3221	80.133	6.37846	10.1931	8	8	t-test	E
YCR081W	SRB8	0.0213849	0.891299	-19.899	9.78651	49.0919	5.81154	8.25476	8	8	t-test	E
YBR098W	MMS4	0.0916651	0.999261	-19.7886	37.4758	94.7	8.41657	11.448	8	8	t-test	E
YJR118C	ILM1	0.0185825	0.83274	-19.6636	27.2261	77.543	5.40839	8.30666	8	8	t-test	E
YLR320W	MMS22	0.00353314	0.252857	-19.6429	5.17795	41.047	3.20023	7.39411	8	8	t-test	E
YCL054W	SPB1	0.0413066	0.999261	-19.513	32.8648	86.6189	2.29368	12.8047	8	8	t-test	E
YDR208W	MSS4	0.0514708	0.999261	-19.438	34.3031	88.8732	2.62959	13.4954	8	8	t-test	E
YCR033W	SNT1	0.105032	0.999261	-19.195	34.5884	88.9435	8.8769	10.76	8	8	t-test	E
YMR190C	SGS1	0.0137015	0.670395	-18.8037	22.8583	68.8978	2.37654	9.48474	8	8	t-test	E
YFR027W	ECO1	0.0225035	0.906758	-18.7632	29.9894	80.6237	1.47258	10.6415	8	8	t-test	E
YBR152W	SPP381	0.0698828	0.999261	-18.7152	42.773	101.685	2.65793	14.224	8	8	t-test	E
YER092W	IES5	0.0317277	0.999261	-18.6171	11.1362	49.2039	4.84091	10.0329	8	8	t-test	E
YML102W	CAC2	0.020455	0.883617	-18.5999	22.6985	68.2965	5.11451	8.1854	8	8	t-test	E
YML091C	RPM2	0.0792323	0.999261	-18.4646	39.1596	95.2949	2.92794	14.5409	8	8	t-test	E
YJR112W	NNF1	0.0836552	0.999261	-18.4576	41.451	99.0728	4.14557	14.3414	8	8	t-test	E
YPL187W	MF(ALPHA)1	0.15126	0.999261	-18.4117	36.9123	91.4911	9.34346	12.7216	8	8	t-test	E
YOR243C	PUS7	0.0996072	0.999261	-18.2998	30.4492	80.6179	7.63474	11.6089	8	8	t-test	E
YOR353C	SOG2	0.07086	0.999261	-18.2756	36.3737	90.3754	2.71113	13.9237	8	8	t-test	E
YHR191C	CTF8	0.0127606	0.637363	-18.2247	22.2476	66.9305	3.52314	8.56371	8	8	t-test	E
YOR322C	LDB19	0.0293291	0.999261	-18.1987	32.2867	83.4895	2.95923	10.741	8	8	t-test	E
YHR200W	RPN10	0.0841524	0.999261	-18.1804	26.0212	73.0977	7.79982	9.58299	8	8	t-test	E
YLR212C	TUB4	0.087177	0.999261	-17.9604	41.0525	97.5916	3.92184	14.2191	8	8	t-test	E
YDR049W	VMS1	0.0154788	0.734859	-17.942	16.3097	56.643	5.17543	6.32411	8	8	t-test	E
YDL126C	CDC48	0.0916906	0.999261	-17.7056	43.0388	100.455	4.13124	14.1487	8	8	t-test	E
YBR043C	QDR3	0.118097	0.999261	-17.462	34.0991	85.2683	8.24645	10.6018	8	8	t-test	E
YJL062W	LAS21	0.0260086	0.996286	-17.4276	32.6451	82.8069	3.71412	9.5408	8	8	t-test	E
YLR106C	MDN1	0.0927637	0.999261	-17.3516	40.669	95.9505	3.59876	14.1369	8	8	t-test	E
YIL090W	ICE2	0.0559259	0.999261	-17.3063	22.4347	65.7209	6.06021	9.37789	8	8	t-test	E
YHR196W	UTP9	0.114684	0.999261	-17.0952	42.7092	98.9005	4.86881	14.4023	8	8	t-test	E
YDR386W	MUS81	0.149906	0.999261	-17.0524	38.1155	91.2329	8.92884	11.0176	8	8	t-test	E
YDR091C	RLI1	0.0452853	0.999261	-17.0413	33.4301	83.4662	2.11559	11.448	8	8	t-test	E
YBL066C	SEF1	0.124868	0.999261	-16.9772	34.0263	84.3461	8.01948	10.885	8	8	t-test	E
YGR099W	TEL2	0.0723696	0.999261	-16.8434	35.5809	86.6957	2.09361	13.0082	8	8	t-test	E
YLR182W	SWI6	0.0966037	0.999261	-16.8285	7.11649	39.5986	2.30896	14.2845	8	8	t-test	E
YMR263W	SAP30	0.0557314	0.999261	-16.5822	28.9079	75.2285	5.57232	9.37269	8	8	t-test	E
YPR069C	SPE3	0.0259319	0.996286	-16.5392	31.5426	79.5145	1.99403	9.63618	8	8	t-test	E
YJL014W	CCT3	0.0457544	0.999261	-16.523	31.9187	80.1095	2.03911	11.1337	8	8	t-test	E
YHR040W	BCD1	0.128574	0.999261	-16.4108	46.476	103.998	3.64401	15.0906	8	8	t-test	E
YBR135W	CKS1	0.0545158	0.999261	-16.2991	33.2157	81.8842	3.00246	11.2715	8	8	t-test	E
YBL041W	PRE7	0.0877992	0.999261	-16.2868	29.3813	75.5228	2.02962	13.4105	8	8	t-test	E
YMR049C	ERB1	0.0661374	0.999261	-16.1459	30.9464	77.878	1.43934	12.2041	8	8	t-test	E
YNL011C	YNL011C	1.55068e-05	0.00619625	-16.1334	34.2811	83.3722	2.49036	4.22395	56	56	t-test	E
YBR219C	YBR219C	0.118061	0.999261	-16.1256	33.2965	81.7308	7.93924	8.91706	8	8	t-test	E
YCR057C	PWP2	0.0512043	0.999261	-15.8885	31.6185	78.5639	2.22288	10.9983	8	8	t-test	E
YDR224C	HTB1	0.0761855	0.999261	-15.8443	39.6814	91.8245	2.43817	12.336	8	8	t-test	E
YBL088C	TEL1	0.132288	0.999261	-15.7486	34.6701	83.3791	8.09468	9.04192	8	8	t-test	E
YHR077C	NMD2	2.69177e-06	0.00161338	-15.7002	32.6938	80.0307	2.07715	3.95618	56	56	t-test	E
YLR056W	ERG3	0.0772123	0.999261	-15.6652	34.1774	82.4264	5.50014	10.0725	8	8	t-test	E
YGR198W	YPP1	0.0218304	0.891299	-15.6556	29.2205	74.213	4.69887	7.35636	16	16	t-test	E
YNL046W	YNL046W	0.214449	0.999261	-15.4615	36.4605	85.865	9.5644	11.5318	8	8	t-test	E
YER159C	BUR6	0.0318169	0.999261	-15.4067	29.2489	73.8484	0.911013	9.51883	8	8	t-test	E
YAL013W	DEP1	0.0624631	0.999261	-15.3862	33.8436	81.413	6.01704	7.55173	8	8	t-test	E
YGL054C	ERV14	0.153735	0.999261	-15.359	28.5396	72.5965	8.28274	9.60429	8	8	t-test	E
YIL084C	SDS3	0.133508	0.999261	-15.3065	23.3508	63.9288	7.43521	10.0029	8	8	t-test	E
YDR292C	SRP101	0.0626788	0.999261	-15.232	33.6362	80.815	2.04249	11.2165	8	8	t-test	E
YJR057W	CDC8	0.076944	0.999261	-15.219	34.1487	81.641	1.87936	11.9918	8	8	t-test	E
YNL103W	MET4	0.157899	0.999261	-15.1493	39.949	91.1179	2.86575	15.4325	8	8	t-test	E
YCL060C	:::MRC1	0.0255407	0.996286	-15.1042	27.898	71.1141	3.218	8.22883	8	8	t-test	E
YDL205C	HEM3	0.0842173	0.999261	-15.1011	34.0581	81.2961	2.20996	12.1879	8	8	t-test	E
YBL018C	POP8	0.0628569	0.999261	-15.0854	36.9211	86.0049	2.07136	11.1077	8	8	t-test	E
YCL061C	MRC1	0.0309914	0.999261	-15.0745	24.2355	65.0082	4.75688	6.75654	8	8	t-test	E
YDR269C	YDR269C	0.000105378	0.0202114	-15.0311	29.6179	73.8375	2.48904	4.6024	56	56	t-test	E
YDL193W	NUS1	0.0467322	0.999261	-15.0038	32.1541	77.9865	1.56763	10.2134	8	8	t-test	E
YDR047W	HEM12	0.0626057	0.999261	-15.0038	32.4401	78.4595	2.17786	11.0068	8	8	t-test	E
YLR087C	CSF1	0.120111	0.999261	-14.9817	27.3747	70.0461	6.92971	9.58128	8	8	t-test	E
YDL217C	TIM22	0.144275	0.999261	-14.9222	41.4355	93.2007	4.9268	13.4817	8	8	t-test	E
YKL141W	SDH3	0.197955	0.999261	-14.8728	51.5211	109.798	4.52728	16.1699	8	8	t-test	E
YGR065C	VHT1	0.123871	0.999261	-14.8354	40.6662	91.7848	3.59818	13.2902	8	8	t-test	E
YPL146C	NOP53	0.0859429	0.999261	-14.8346	34.1454	80.9997	2.28567	12.0272	8	8	t-test	E
YBR088C	POL30	0.140701	0.999261	-14.8319	44.556	98.2117	3.60244	14.0414	8	8	t-test	E
YIL068C	SEC6	0.0932264	0.999261	-14.7616	26.8488	68.8124	6.1534	8.92498	8	8	t-test	E
YDR367W	KEI1	0.0952006	0.999261	-14.6785	38.8769	88.5663	2.27134	12.3329	8	8	t-test	E
YDR238C	SEC26	0.0821346	0.999261	-14.6692	35.6267	83.176	3.49513	11.2163	8	8	t-test	E
YCL041C	YCL041C	0.123972	0.999261	-14.6468	39.3301	89.2634	3.58659	13.1087	8	8	t-test	E
YLR085C	ARP6	0.166604	0.999261	-14.6027	28.3746	71.0729	8.39866	8.67495	8	8	t-test	E
YHR101C	BIG1	0.183354	0.999261	-14.5703	49.5795	106.087	4.67507	15.0401	8	8	t-test	E
YKL049C	CSE4	0.114301	0.999261	-14.5677	41.12	92.0925	1.70081	13.2184	8	8	t-test	E
YPR088C	SRP54	0.133612	0.999261	-14.5566	43.7429	96.4117	3.67036	13.4024	8	8	t-test	E
YLR291C	GCD7	0.144837	0.999261	-14.5495	40.3582	90.8026	2.48211	14.3442	8	8	t-test	E
YOR151C	RPB2	0.126428	0.999261	-14.4528	36.4587	84.194	2.30405	13.5055	8	8	t-test	E
YLR261C	VPS63	0.189279	0.999261	-14.4225	31.3222	75.6496	8.78368	9.04898	8	8	t-test	E
YER048W-A	ISD11	0.0536367	0.999261	-14.3985	32.4765	77.5186	2.71089	9.88522	8	8	t-test	E
YDR052C	DBF4	0.120309	0.999261	-14.2818	40.1492	90.0143	3.41277	12.6634	8	8	t-test	E
YGL142C	GPI10	0.0816294	0.999261	-14.2128	33.2601	78.5075	2.15207	11.3325	8	8	t-test	E
YLR276C	DBP9	0.157333	0.999261	-14.1636	45.2502	98.2547	3.98523	13.8352	8	8	t-test	E
YKL154W	SRP102	0.167291	0.999261	-14.1494	47.155	101.381	3.1859	14.6235	8	8	t-test	E
YGL022W	STT3	0.0672466	0.999261	-14.0703	31.2067	74.8759	1.53231	10.6535	8	8	t-test	E
YAL058W	CNE1	0.190633	0.999261	-14.0612	33.8741	79.2721	8.05474	10.3257	8	8	t-test	E
YBR093C	PHO5	0.0561557	0.999261	-14.0505	26.3196	66.7613	3.40652	9.37672	8	8	t-test	E
YBL065W	YBL065W	0.180488	0.999261	-14.0217	32.6578	77.1955	7.9351	9.8049	8	8	t-test	E
