ORF	Gene	Reason
YGL130W	CEG1	Manually stripped LHS Fitness Plot
YOR303W	CPA1	Manually stripped LHS Fitness Plot
YJR109C	CPA2	Manually stripped LHS Fitness Plot
YDL160C	DHH1	Manually stripped LHS Fitness Plot
YHR059W	FYV4	Manually stripped LHS Fitness Plot
YLR088W	GAA1	Manually stripped LHS Fitness Plot
YGR191W	HIP1	Manually stripped LHS Fitness Plot
YIL125W	KGD1	Manually stripped LHS Fitness Plot
YHR194W	MDM31	Manually stripped LHS Fitness Plot
YDR461W	MFA1	Manually stripped LHS Fitness Plot
YOL115W	PAP2	Manually stripped LHS Fitness Plot
YDL090C	RAM1	Manually stripped LHS Fitness Plot
YJL204C	RCY1	Manually stripped LHS Fitness Plot
YMR235C	RNA1	Manually stripped LHS Fitness Plot
YOL005C	RPB11	Manually stripped LHS Fitness Plot
YGL123W	RPS2	Manually stripped LHS Fitness Plot
YBL025W	RRN10	Manually stripped LHS Fitness Plot
YLR357W	RSC2	Manually stripped LHS Fitness Plot
YDL042C	SIR2	Manually stripped LHS Fitness Plot
YLR442C	SIR3	Manually stripped LHS Fitness Plot
YDR227W	SIR4	Manually stripped LHS Fitness Plot
