R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 30
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 28
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0015
y-axis screen name: cdc13-1_DIL
y-axis libraries: SDLV4_384
y-axis client: DJW
y-axis user: APB
y-axis date: 2013/06/10
y-axis PI: 
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: 
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR245W	YMR245W	9.71716e-05	0.00705923	-38.2556	8.94355	69.1003	3.51964	8.23658	8	8	t-test	E
YNL140C	YNL140C	0.000629584	0.0186854	-38.1507	15.5552	78.6264	4.78385	10.1438	8	8	t-test	E
YGL042C	YGL042C	2.07514e-05	0.00285188	-38.1086	5.59794	63.987	2.73652	6.90866	8	8	t-test	E
YDL134C	PPH21	0.0001926	0.00944918	-38.0865	13.3571	75.3143	3.85668	8.97257	10	8	t-test	E
YBR275C	RIF1	0.00061175	0.0186854	-37.9902	14.3437	76.6176	2.50773	10.0936	10	8	t-test	E
YPR120C	CLB5	5.21017e-05	0.00529698	-37.954	7.21452	66.1275	3.55258	7.60475	8	8	t-test	E
YJL169W	YJL169W	0.000628173	0.0186854	-37.9475	17.043	80.5069	4.07416	10.2524	8	8	t-test	E
YOL124C	TRM11	1.35339e-05	0.00224382	-37.8892	6.67387	65.2411	3.35204	6.56866	8	8	t-test	E
YGR122W	YGR122W	0.0026756	0.0479718	-37.7823	19.2037	83.4285	6.7816	11.4221	8	8	t-test	E
YMR002W	MIX17	0.000600953	0.0185217	-37.6839	16.0877	78.7226	4.15839	10.1046	8	8	t-test	E
YNL046W	YNL046W	0.0371179	0.213031	-37.6377	21.0126	85.865	13.8121	11.5318	8	8	t-test	E
YPR069C	SPE3	0.000474302	0.0165249	-37.6127	16.6998	79.5145	4.61631	9.63618	8	8	t-test	E
YBL039C	URA7	0.00143156	0.031429	-37.6027	22.5221	88.0237	6.868	10.1238	10	8	t-test	E
YPL012W	RRP12	0.0079534	0.0932681	-37.5989	22.9422	88.6332	6.85891	14.2954	8	8	t-test	E
YBL088C	TEL1	0.000291437	0.0119763	-37.3525	19.5998	83.3791	2.55266	9.04192	10	8	t-test	E
YKL056C	TMA19	0.000374364	0.01374	-37.3501	15.4357	77.2793	5.05997	8.97088	8	8	t-test	E
YBR280C	SAF1	0.00133988	0.0309333	-37.3227	15.9293	77.9618	6.96527	9.70966	10	8	t-test	E
YLR384C	IKI3	0.000342765	0.0129765	-37.1955	16.2887	78.3018	3.79163	9.29928	8	8	t-test	E
YJL081C	ARP4	0.000254557	0.0107361	-37.1893	9.47042	68.3106	3.7511	8.95851	8	8	t-test	E
YDR006C	SOK1	0.000766848	0.0214361	-36.9396	20.3179	83.826	2.66862	10.1828	10	8	t-test	E
YPL091W	GLR1	0.000367867	0.0136054	-36.7171	18.7009	81.1329	4.2662	9.16069	8	8	t-test	E
YNL234W	YNL234W	0.012617	0.122936	-36.6566	1.77864	56.2698	1.77864	16.1694	8	8	t-test	E
YBR093C	PHO5	0.000389768	0.0140613	-36.5827	9.01875	66.7613	3.86746	9.37672	10	8	t-test	E
YER112W	LSM4	0.000175782	0.00908774	-36.5773	9.81001	67.9118	3.78003	8.40126	8	8	t-test	E
YGR123C	PPT1	0.000494179	0.0165669	-36.5767	16.6388	77.9084	3.81483	9.58139	8	8	t-test	E
YOR353C	SOG2	0.0178986	0.145636	-36.4506	25.2805	90.3754	9.71233	13.9237	8	8	t-test	E
YPR153W	YPR153W	8.36429e-05	0.00638342	-36.4476	7.4356	64.2457	3.64788	7.67028	8	8	t-test	E
YHR196W	UTP9	0.0131639	0.125083	-36.3971	31.1571	98.9005	8.12816	14.4023	8	8	t-test	E
YBR142W	MAK5	0.00520512	0.0717083	-36.3711	24.6775	89.3761	5.76988	13.1332	8	8	t-test	E
YMR073C	IRC21	7.79247e-05	0.00634478	-36.3699	6.87314	63.3085	3.36852	7.63369	8	8	t-test	E
YLR154C	RNH203	0.00222195	0.0427326	-36.0864	17.4638	78.3983	6.32635	10.6208	8	8	t-test	E
YLR332W	MID2	0.00105312	0.0258337	-35.9715	18.3342	79.5044	5.48044	9.81452	8	8	t-test	E
YOR300W	YOR300W	0.000859401	0.0226664	-35.8073	21.9304	84.529	7.89204	7.80773	16	16	t-test	E
YLR446W	YLR446W	0.022833	0.16873	-35.7886	17.8052	78.4622	11.6562	10.3664	8	8	t-test	E
YBR072W	HSP26	0.00676113	0.0842164	-35.7365	21.8977	84.3775	9.01841	10.3914	10	8	t-test	E
YMR263W	SAP30	0.00049537	0.0165669	-35.7328	15.6522	75.2285	3.59588	9.37269	8	8	t-test	E
YFL003C	MSH4	0.00490964	0.0700461	-35.6577	4.25812	58.4374	2.85758	13.1527	8	8	t-test	E
YMR016C	SOK2	0.00075457	0.0212162	-35.5915	10.318	67.2122	3.92786	9.84716	8	8	t-test	E
YNL032W	SIW14	0.00335462	0.0554928	-35.4029	14.9583	73.7297	4.67554	12.133	8	8	t-test	E
YPR023C	EAF3	0.00599262	0.0787227	-35.4014	25.7468	89.522	8.03744	10.8481	8	8	t-test	E
YNL068C	FKH2	0.00139507	0.0309907	-35.3976	15.8709	75.058	3.70951	10.7055	8	8	t-test	E
YAL033W	POP5	0.0123723	0.122148	-35.3254	31.7867	98.2531	7.61588	13.9962	8	8	t-test	E
YCR077C	PAT1	3.51104e-05	0.00424391	-35.3027	0	51.6837	0	5.57362	10	8	t-test	E
YPR193C	HPA2	0.0051057	0.0711542	-35.2298	29.2846	94.4501	3.77121	13.0979	8	8	t-test	E
