R package version: 0.0-39
Summary type: mean
Test type: t-test
x-axis treatment: 36
x-axis medium: SDM_rhlk_CTGNH
x-axis screen ID: QFA0018
x-axis screen name: lyp1_HLN
x-axis libraries: SDLV4_384
x-axis client: MGD
x-axis user: APB
x-axis date: 2013/07/23
x-axis PI: DAL
x-axis condition: SDM_rhlk_CTGNH
x-axis inoculation type: CONC
x-axis fitness definition: MDRMDP
y-axis treatment: 36
y-axis medium: SDM_rhlk_CTGNH
y-axis screen ID: QFA0011
y-axis screen name: pol2-12
y-axis libraries: SDLV4_384
y-axis client: DAL
y-axis user: MGD
y-axis date: 2013/07/08
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGNH
y-axis inoculation type: CONC
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR369C	XRS2	0.000729032	0.0178948	-26.084	0.488301	41.215	0.337343	5.56464	8	6	t-test	E
YKL110C	KTI12	0.010808	0.103333	-26.0646	12.7266	60.1672	7.5549	5.03563	8	6	t-test	E
YMR048W	CSM3	7.45562e-07	0.000128104	-25.9709	7.38234	51.7325	2.0629	1.36754	8	6	t-test	E
YJL092W	SRS2	1.92896e-05	0.00145004	-25.9136	4.80677	47.6489	2.04037	4.23979	8	6	t-test	E
YDR486C	VPS60	6.6488e-06	0.000639747	-25.6547	2.65835	43.915	1.30871	3.45488	8	6	t-test	E
YBR011C	IPP1	1.10973e-05	0.000957057	-25.6481	0	39.7816	0	2.27024	8	6	t-test	E
YHL023C	NPR3	1.74718e-08	5.60379e-06	-25.5667	3.00724	44.3196	1.10606	2.04817	8	6	t-test	E
YPL055C	LGE1	9.967e-05	0.0045237	-25.535	0	39.6061	0	3.54089	8	6	t-test	E
YBR274W	CHK1	1.54799e-15	2.48246e-12	-25.5042	5.44124	47.998	1.99065	2.77474	56	42	t-test	E
YMR016C	SOK2	4.22937e-06	0.000452167	-25.4897	3.75038	45.3528	1.19314	3.211	8	6	t-test	E
YDR334W	SWR1	2.97287e-09	1.43025e-06	-25.3571	2.456	43.1396	1.2383	1.688	8	6	t-test	E
YIL008W	URM1	2.78218e-09	1.43025e-06	-25.2318	3.82389	45.0669	0.631093	1.46418	8	6	t-test	E
YKR101W	SIR1	0.00115313	0.0245473	-25.2126	7.924	51.3965	4.97719	4.51435	8	6	t-test	E
YDL192W	ARF1	0.00928323	0.0956352	-25.113	0	38.9515	0	9.48219	8	6	t-test	E
YPL184C	MRN1	0.00033556	0.010237	-25.0061	7.85778	50.9736	3.73344	5.25429	8	6	t-test	E
YDR315C	IPK1	4.03927e-05	0.00242911	-24.9875	2.16324	42.1123	0.929775	3.71083	8	6	t-test	E
YCL010C	SGF29	0.000216076	0.00767998	-24.9399	0.0122832	38.7021	0.0122832	4.06253	8	6	t-test	E
YOR039W	CKB2	0.000277421	0.00911517	-24.85	7.97893	50.9194	3.59917	5.14099	8	6	t-test	E
